record_id,user_id,transaction_date,age,city,region,product_category,sale_amount,price,store_id,subscription,status,email,username,raw_timestamp,revenue
230,USR1005,2023-02-06,20,Jaipur,North,Clothing,2681.72,1588.05,STORE_008,Basic,Inactive,user671@example.com,user_208,2023-11-23 18:22:00,7055.25
461,USR1055,2023-07-01,52,Mumbai,Central,Sports,3356.41,984.72,STORE_011,Premium,Inactive,user251@example.com,user_424,2023-02-28 21:26:00,7250.63
285,USR1028,2023-08-26,58,Chennai,North,Sports,788.63,2736.22,STORE_016,Basic,Inactive,user144@example.com,user_472,2023-05-26 06:27:00,6206.51
354,USR1091,2023-11-18,54,Pune,East,Books,4084.64,437.12,STORE_013,Basic,Inactive,user628@example.com,user_942,2023-07-04 14:06:00,4314.35
476,USR1002,2023-11-26,52,Ahmedabad,East,Groceries,2043.91,2755.74,STORE_002,Free,Active,user197@example.com,user_525,2023-06-04 08:20:00,4063.41
332,USR1064,2023-11-14,41,Bangalore,Central,Electronics,1338.44,2792.37,STORE_015,Basic,Active,user643@example.com,user_366,2023-03-01 10:02:00,5042.19
342,USR1086,2023-12-20,35,Bangalore,South,Electronics,4089.04,580.9,STORE_001,Basic,,user765@example.com,user_962,2023-11-17 17:12:00,7720.24
344,USR1093,2023-10-11,18,Kolkata,West,Beauty,350.49,,STORE_019,Free,,user763@example.com,user_584,2023-03-01 15:39:00,3532.96
487,USR1084,2023-11-02,33,Bangalore,West,Sports,751.08,748.22,STORE_014,Free,Inactive,user298@example.com,user_486,2023-11-24 03:17:00,6820.14
2,USR1028,2023-08-18,16,Kolkata,East,Books,4788.2,296.38,STORE_004,Free,Pending,user926@example.com,user_570,2023-10-02 03:59:00,5565.2
37,USR1014,2023-10-06,25,Bangalore,North,Electronics,1572.68,1716.24,STORE_010,Premium,Active,user411@example.com,user_378,2023-09-14 17:31:00,6020.56
250,USR1075,2023-12-04,42,Delhi,Central,Electronics,2759.34,1681.49,STORE_007,Premium,Inactive,user768@example.com,user_248,2023-01-17 21:36:00,3054.57
62,USR1009,2023-06-10,52,Kolkata,East,Clothing,4832.69,2843.89,STORE_015,Free,Active,user208@example.com,user_703,2023-07-25 16:05:00,3171.72
182,USR1057,2023-03-10,54,Jaipur,East,Sports,3139.63,1048.97,STORE_005,Basic,,user752@example.com,user_218,2023-06-30 17:30:00,9432.47
271,USR1032,2023-01-08,54,Lucknow,South,Beauty,918.23,723.86,STORE_006,Basic,Active,user186@example.com,user_709,2023-03-20 15:48:00,7726.64
472,USR1065,2023-07-24,32,Hyderabad,East,Toys,3976.11,513.65,STORE_007,Premium,,user533@example.com,user_378,2023-06-13 19:06:00,4350.2
286,USR1097,2023-08-21,63,Jaipur,South,Groceries,2451.05,2687.34,STORE_015,Basic,,user303@example.com,user_433,2023-04-28 03:20:00,2447.47
99,USR1007,2023-02-05,46,Chennai,West,Groceries,3840.85,1944.72,STORE_014,Free,,user486@example.com,user_799,2023-12-05 17:08:00,3542.92
130,USR1035,2023-02-17,32,Pune,South,Electronics,1562.27,717.75,STORE_003,Premium,Active,user179@example.com,user_331,2023-09-23 21:28:00,
58,USR1013,2023-06-29,39,Chennai,Central,Sports,4233.52,2458.91,STORE_020,Basic,Active,user773@example.com,user_373,2023-01-15 05:17:00,3158.95
95,USR1043,2023-06-01,64,Bangalore,Central,Toys,2600.64,2014.38,STORE_006,Basic,,user354@example.com,,2023-07-16 07:28:00,9544.94
227,USR1076,2023-10-11,49,Ahmedabad,East,Books,2297.69,1527.75,STORE_006,Premium,,user894@example.com,user_428,2023-02-02 21:34:00,1979.71
26,USR1077,2023-04-23,33,Ahmedabad,North,Toys,3411.75,511.83,STORE_015,Basic,,user503@example.com,user_778,2023-01-14 02:41:00,8681.83
1,USR1081,2023-02-27,,Hyderabad,South,Groceries,3399.66,279.08,STORE_014,Premium,Active,user338@example.com,user_127,2023-10-15 06:45:00,5494.92
463,USR1015,2023-12-25,45,Kolkata,East,Home Decor,2157.95,1020.76,STORE_006,Premium,,user666@example.com,user_655,2023-08-12 12:18:00,6916.65
322,USR1082,2023-01-19,33,Mumbai,East,Books,921.13,2892.08,STORE_016,Premium,Active,user185@example.com,user_405,2023-02-02 13:57:00,6608.56
89,USR1021,2023-09-26,55,Bangalore,South,Electronics,3517.58,1334.29,STORE_014,Basic,,user520@example.com,user_726,2023-08-30 23:46:00,1467.02
80,USR1073,2023-07-08,51,Lucknow,North,Clothing,4998.0,1586.57,STORE_014,Basic,Active,user424@example.com,user_560,2023-08-27 21:33:00,8791.81
50,USR1071,2023-07-07,41,Chennai,Central,Clothing,3380.5,1761.99,STORE_012,Premium,Inactive,user734@example.com,user_674,2023-06-17 19:14:00,6390.5
118,USR1046,2023-12-26,50,Delhi,South,Home Decor,3082.76,1942.19,STORE_013,Free,,user200@example.com,user_622,2023-09-23 17:37:00,2288.21
465,USR1058,2023-10-10,28,Delhi,East,Beauty,4111.07,2228.64,STORE_001,Free,Inactive,user374@example.com,user_370,2023-06-07 13:43:00,9011.85
426,USR1061,2023-09-12,59,Kolkata,North,Sports,3742.29,2113.72,STORE_012,Basic,,user143@example.com,user_272,2023-12-12 16:57:00,843.71
422,USR1003,2023-11-06,33,Jaipur,North,Toys,3218.88,1013.88,STORE_009,Basic,Inactive,user200@example.com,user_327,2023-07-13 03:50:00,1839.74
347,USR1064,2023-01-17,37,Delhi,Central,Sports,1159.27,1034.17,STORE_012,Premium,,user254@example.com,user_994,2023-09-21 19:42:00,599.18
372,USR1071,2023-01-27,40,Delhi,Central,Toys,3017.9,51.61,STORE_013,Premium,,user734@example.com,user_766,2023-12-12 00:29:00,5919.35
348,USR1056,2023-08-23,64,Delhi,Central,Clothing,257.75,1897.18,STORE_007,Free,Inactive,user825@example.com,user_618,2023-09-13 23:55:00,6506.22
202,USR1076,2023-01-20,50,Delhi,West,Groceries,2719.47,,STORE_014,Basic,,user144@example.com,user_539,2023-04-28 15:50:00,3570.13
398,USR1026,2023-05-01,43,Chennai,South,Sports,923.36,870.35,STORE_015,Basic,Pending,user592@example.com,user_468,2023-07-23 12:10:00,4284.7
408,USR1029,2023-11-07,63,Pune,West,Beauty,4292.65,2208.15,STORE_010,Basic,Inactive,user990@example.com,user_685,2023-09-16 01:08:00,962.19
287,USR1052,2023-04-13,30,Ahmedabad,Central,Beauty,2207.53,1836.11,STORE_006,Premium,Pending,user837@example.com,user_467,2023-05-19 06:21:00,6952.88
206,USR1000,2023-02-16,46,Delhi,North,Books,446.2,,STORE_013,Premium,,user393@example.com,user_711,2023-01-30 05:40:00,206.03
138,USR1019,2023-04-02,18,Hyderabad,East,Sports,3615.43,252.1,STORE_012,Premium,,user153@example.com,user_923,2023-09-22 01:25:00,4704.43
272,USR1030,2023-12-05,56,Hyderabad,Central,Home Decor,1358.76,176.52,STORE_015,Premium,,user864@example.com,user_645,2023-04-30 12:43:00,4798.44
88,USR1090,2023-10-16,17,Pune,North,Toys,3993.94,2070.37,STORE_001,Basic,,user771@example.com,user_894,2023-10-24 18:14:00,5876.88
294,USR1057,2023-11-14,59,Hyderabad,West,Clothing,4494.83,2870.75,STORE_004,Basic,Pending,user251@example.com,user_995,2023-04-15 16:40:00,
52,USR1083,2023-02-20,55,Chennai,North,Home Decor,2251.24,1100.8,STORE_012,Basic,Pending,user382@example.com,user_225,2023-08-21 02:42:00,6430.98
165,USR1076,2023-07-26,59,Mumbai,West,Books,2121.9,125.25,STORE_019,Basic,Pending,user327@example.com,user_753,2023-09-01 21:22:00,8469.65
328,USR1040,2023-08-20,63,Chennai,South,Home Decor,1033.39,562.03,STORE_013,Basic,Inactive,,,2023-10-13 20:39:00,9077.76
9,USR1002,2023-10-29,53,Mumbai,North,Electronics,4531.83,231.15,STORE_008,Free,,user235@example.com,user_684,2023-10-23 15:15:00,8094.22
207,USR1084,2023-09-23,18,Lucknow,South,Electronics,3292.34,278.79,STORE_009,Premium,Pending,user515@example.com,user_630,2023-01-08 23:45:00,992.64
55,USR1084,2023-09-24,57,Mumbai,West,Toys,584.41,1341.82,STORE_003,Free,,user229@example.com,user_748,2023-10-27 17:45:00,9946.81
326,USR1030,2023-06-02,26,Pune,West,Electronics,446.47,1485.24,STORE_014,Free,,user939@example.com,user_264,2023-12-24 08:32:00,4266.62
51,USR1059,2023-12-25,42,Bangalore,North,Electronics,2488.49,2664.03,STORE_005,Premium,,user860@example.com,user_653,2023-08-03 18:47:00,8865.6
370,USR1003,2023-04-26,43,Hyderabad,South,Groceries,361.08,103.06,STORE_014,Premium,,user442@example.com,user_353,2023-02-25 15:15:00,8341.92
70,USR1015,2023-05-26,26,Ahmedabad,Central,Groceries,503.98,2453.78,STORE_012,Premium,,user614@example.com,user_495,2023-02-11 11:14:00,
341,USR1023,2023-04-19,63,Delhi,West,Electronics,,531.77,STORE_016,Premium,,user862@example.com,user_598,2023-06-05 19:52:00,3671.21
349,USR1042,2023-03-12,28,Kolkata,North,Sports,2394.63,530.36,STORE_009,Free,,user780@example.com,user_871,2023-09-29 13:50:00,8037.51
