Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1687,CA-2017-149489,4/24/2017,4/27/2017,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10002414,Office Supplies,Binders,GBC ProClick Spines for 32-Hole Punch,7.8939,3,0.8,-5.131
4897,CA-2016-135776,12/23/2016,12/30/2016,First Class,EH-13765,Edward Hooks,Corporate,United States,Seattle,Washington,98103,West,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1173.816,5,0.1,58.6908
6070,CA-2017-166695,5/20/2017,5/24/2017,First Class,CC-12430,Chuck Clark,Home Office,United States,Lakewood,California,90712,West,TEC-MA-10003176,Technology,Machines,Okidata B400 Printer,360.36,2,0.3,-54.054
2475,CA-2016-114972,11/3/2016,11/6/2016,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,87.0975,6,0.1,4.3549
8460,CA-2014-126200,8/25/2014,8/29/2014,First Class,JE-15715,Joe Elijah,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",13.0032,4,0.8,-8.4521
4800,US-2016-148901,5/14/2016,5/19/2016,First Class,MK-17905,Michael Kennedy,Corporate,United States,Jacksonville,Florida,32216,South,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",45.78,6,0.3,-6.867
6846,CA-2014-147543,7/6/2014,7/12/2014,First Class,BC-11125,Becky Castell,Home Office,United States,El Cajon,California,92020,West,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,502.404,3,0.3,-75.3606
857,CA-2014-125612,8/3/2014,8/8/2014,First Class,BK-11260,Berenike Kampe,Consumer,United States,New York City,New York,10035,East,OFF-SU-10002537,Office Supplies,Supplies,Acme Box Cutter Scissors,107.415,11,0.1,5.3707
4422,CA-2014-117016,3/4/2014,3/9/2014,First Class,SC-20095,Sanjit Chand,Consumer,United States,Margate,Florida,33063,South,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",16.3296,4,0.3,-2.4494
5367,CA-2017-158071,6/10/2017,6/15/2017,First Class,BD-11320,Bill Donatelli,Consumer,United States,Seattle,Washington,98103,West,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",93.2148,4,0.3,-13.9822
8905,US-2016-126431,7/1/2016,7/1/2016,First Class,SU-20665,Stephanie Ulpright,Home Office,United States,New York City,New York,10009,East,OFF-LA-10001474,Office Supplies,Labels,Avery 477,32.0565,2,0.1,1.6028
6458,CA-2014-110065,8/5/2014,8/11/2014,First Class,SP-20650,Stephanie Phelps,Corporate,United States,New York City,New York,10009,East,OFF-AR-10004165,Office Supplies,Art,"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",16.758,8,0.1,0.8379
4092,CA-2016-161473,4/1/2016,4/5/2016,First Class,TB-21175,Thomas Boland,Corporate,United States,New York City,New York,10035,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,15.0696,4,0.3,-2.2604
6110,CA-2016-150007,9/11/2016,9/16/2016,First Class,AS-10090,Adam Shillingsburg,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,2.0034,4,0.8,-1.3022
6740,CA-2014-144029,5/26/2014,5/31/2014,First Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60623,Central,OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",107.7552,4,0.3,-16.1633
6852,US-2016-100461,1/8/2016,1/12/2016,First Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,53132,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,111.3525,8,0.1,5.5676
421,CA-2017-110478,3/4/2017,3/9/2017,First Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",16.0125,2,0.1,0.8006
7784,CA-2016-162236,11/4/2016,11/6/2016,First Class,ER-13855,Elpida Rittenbach,Corporate,United States,Charlotte,North Carolina,28205,South,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,920.115,11,0.5,-322.0402
7598,CA-2014-131947,9/17/2014,9/22/2014,First Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,97477,West,OFF-AR-10001473,Office Supplies,Art,Newell 313,5.5104,3,0.3,-0.8266
5547,CA-2017-151008,9/7/2017,9/8/2017,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Draper,Utah,84020,West,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",26.418,3,0.1,1.3209
9995,CA-2017-900000,1/5/2017,1/9/2017,Standard Class,JM-15865,John Murray,Consumer,United States,Arlington,Virginia,22204,South,OFF-AP-10003281,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,38.5325,4,0.2,0.0
9996,CA-2017-900001,1/5/2017,1/9/2017,Second Class,GA-14515,George Ashbrook,Consumer,United States,New York City,New York,10011,East,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",281.1094,5,0.1,28.1109
9997,CA-2017-900002,1/5/2017,1/9/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,861.8558,3,0.0,172.3712
9998,CA-2017-900003,1/5/2017,1/9/2017,Standard Class,BW-11200,Ben Wallace,Consumer,United States,Skokie,Illinois,60076,Central,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",13.4658,5,0.1,1.3466
9999,CA-2017-900004,1/5/2017,1/9/2017,Same Day,AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,85705,West,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,225.3827,5,0.1,22.5383
10000,CA-2017-900005,1/5/2017,1/9/2017,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",439.7817,2,0.1,43.9782
10001,CA-2017-900006,1/5/2017,1/9/2017,Standard Class,FH-14350,Fred Harton,Consumer,United States,Atlanta,Georgia,30318,South,OFF-PA-10003893,Office Supplies,Paper,Xerox 1962,21.0401,3,0.1,2.104
10002,CA-2017-900007,1/5/2017,1/9/2017,Second Class,PF-19165,Philip Fox,Consumer,United States,Sandy Springs,Georgia,30328,South,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1302.3764,3,0.0,260.4753
10003,CA-2017-900008,1/5/2017,1/9/2017,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Columbus,Georgia,31907,South,OFF-PA-10000673,Office Supplies,Paper,"Post-it Important Message Note Pad, Neon Colors, 50 Sheets/Pad",60.7743,3,0.0,12.1549
10004,CA-2017-900009,1/5/2017,1/9/2017,Second Class,LP-17080,Liz Pelletier,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",75.6367,5,0.1,7.5637
